SNP_ID,chr_name,POS
1,AC01,49371130
2,AC01,31726846
3,AC01,28413693
4,AC01,28382714
5,AC01,6106981
6,AC01,33305721
7,AC01,4280312
8,AC01,20948575
9,AC01,56232344
10,AC01,51459597
11,AC01,3947778
12,AC01,51008575
13,AC01,12724019
14,AC01,52922899
15,AC01,57025352
16,AC01,26314532
17,AC01,35230049
18,AC01,2985712
19,AC01,30075569
20,AC01,7587194
21,AC01,18397247
22,AC01,15201731
23,AC01,50182036
24,AC01,24011975
25,AC01,45280914
26,AC01,31649039
27,AC01,43450455
28,AC01,17710343
29,AC01,6954272
30,AC01,50633984
31,AC01,41285379
32,AC01,55855701
33,AC01,45281028
34,AC01,37009912
35,AC01,35411125
36,AC01,44121492
37,AC01,20540096
38,AC01,5508704
39,AC01,28450180
40,AC01,24483957
41,AC01,3815633
42,AC01,46920509
43,AC01,23107486
44,AC01,38631840
45,AC01,38631889
46,AC01,31210104
47,AC01,6360120
48,AC01,3863741
49,AC01,25603788
50,AC01,36324145
51,AC01,11132387
52,AC01,11133356
53,AC01,24428904
54,AC01,24429298
55,AC01,7501947
56,AC01,9331031
57,AC01,9331064
58,AC01,47180303
59,AC01,27963241
60,AC01,27961244
61,AC01,8364224
62,AC01,8368587
63,AC01,8394796
64,AC01,41688546
65,AC01,44771401
66,AC01,44771602
67,AC01,45391006
68,AC01,53471997
69,AC01,31727284
70,AC01,31727333
71,AC01,32276740
72,AC01,32419838
73,AC01,37804850
74,AC01,38796093
75,AC01,3485855
76,AC01,2841768
77,AC01,29378783
78,AC01,5349844
79,AC01,5132798
80,AC01,45820138
81,AC01,28174563
82,AC01,38992594
83,AC01,52573800
84,AC01,24220790
85,AC01,24220454
86,AC01,22140527
87,AC01,31034735
88,AC01,42661637
89,AC01,42661807
90,AC01,44800910
91,AC01,53473285
92,AC01,53525154
93,AC01,30549090
94,AC01,31684758
95,AC01,31721355
96,AC01,31721478
97,AC01,31724391
98,AC01,31727034
99,AC01,32397240
100,AC01,32431211
101,AC01,32561741
102,AC01,32673169
103,AC01,32673252
104,AC01,32673484
105,AC01,33634097
106,AC01,33664664
107,AC01,33693523
108,AC01,34752910
109,AC01,34772028
110,AC01,35146654
111,AC01,35261978
112,AC01,35982205
113,AC01,36481884
114,AC01,37010320
115,AC01,37803841
116,AC01,38432287
117,AC01,38543793
118,AC01,38626869
119,AC01,29767855
120,AC01,29385197
121,AC01,29384915
122,AC01,56345225
123,AC01,56677600
124,AC01,56726482
125,AC01,25462163
126,AC01,25863555
127,AC01,26093251
128,AC01,5344751
129,AC01,5344615
